見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
夏休みにチャレンジしてみよう！！,「社会を明るくする」作文,,犯罪・非行のない地域づくりや犯罪・非行をした人の立ち直りについて考えたこと、感じたこと,,,県内在学の小・中学生（特別支援学校含む）,,,規格：400字詰め原稿用紙3?5枚程度郵送で9月7日までに各地区の推進委員会事務局,「社会を明るくする運動｣県推進委員会事務局（和歌山保護観察所内）電話073-436-2501,,,,,,,,
夏休みにチャレンジしてみよう！！,人権の詩2017,,人権をテーマにした詩※要題名。1人何点でも可,,,県内在住・在勤・在学の方,,,,,郵送、ファックス、Eメールで作品と住所、氏名（ふりがな）、年齢、勤務先または学校名（学年）、電話番号を9月6日までに県人権啓発センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛2階 電話073-435-5420 ファックス073-435-5421,,,,http://w-jinken.jp/,,kokoronouta@w-jinken.jp,
夏休みにチャレンジしてみよう！！,県ジュニア美術展覧会作品,,絵画、書、立体の3部門の作品を募集。 入選以上は県立近代美術館に展示,,,県内在住・在学の小・中学生（特別支援学校含む）※学校・団体経由と個人出品があります。申込方法など詳しくは要問合せ,,,,県庁文化学術課,,,,,http://www.pref.wakayama.lg.jp/prefg/022100/jrkenten/index.html,,,
夏休みにチャレンジしてみよう！！,明るい選挙啓発ポスター,,,,,県内在住・在学の小・中・高校生（特別支援学校含む）・高等専門学校生（1?3年生）※1人1点,,,規格：四つ切り・八つ切り画用紙郵送、持参で作品裏面右下に県名、学校名、学年、氏名（ふりがな）を記入し9月8日までに市町村選挙管理委員会,県選挙管理委員会（県庁市町村課内）,,,,,http://www.pref.wakayama.lg.jp/prefg/010600/wsenkan/wsenkan.htm,,,
夏休みにチャレンジしてみよう！！,夏休みアート・ワークショップ2017,,講師：間島領一氏（美術作家）,8月12日（土）10:00?14:30,県立近代美術館（和歌山市）,小学生以上（小学2年生以下は保護者同伴）,20人（先着順）,,,,電話で7月12日?8月11日に県民文化会館 電話073-436-1331,,,,http://www.wacaf.or.jp/index.html,,,
夏休みにチャレンジしてみよう！！,「わかやまの山村｣絵画コンクール,,テーマ：山村の暮らし・風景・出来事や山村のイメージなど,,,県内在学の園児（4歳児?）・小・中・高校生（特別支援学校含む）,,,規格：四つ切り画用紙,学校などを通じて郵送、持参で応募票（WEBサイトで配布）を作品裏面に貼付し8月1日?9月12日に県庁林業振興課,,,,,http://www.pref.wakayama.lg.jp/prefg/070600/index/index.html,,,
夏休みにチャレンジしてみよう！！,串本海中観察会,実技講習のあと、スノーケリングでサンゴ群落などの海中観察,,8月21日（月）、24日（木）いずれも10:00?16:00,串本海中公園（串本町）,小学4年生以上（小学生は保護者同伴）,各20人（抽選）,"3,000円、中学生以下は2,500円（保険料、昼食代など）",郵送、Eメールで住所、氏名、生年月日、電話番号、スノーケリング経験の有無、参加希望日を7月31日までに環境省熊野自然保護官事務所〒647-0043新宮市緑ヶ丘2-4-20　電話0735-22-0342,県庁自然環境室,,,,,http://www.pref.wakayama.lg.jp/prefg/032000/032500/,,WB-KUMANO@env.go.jp,
夏休みにチャレンジしてみよう！！,川の生き物を調べよう,,水生生物の調査用具付きの冊子を配布。その用具などを使って、県内の川を調べ、結果を知らせてください。,,,600人（先着順）,,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号、メールアドレス、参加人数を9月29日までに県庁環境生活総務課ファックス073-433-3590 ,,,,http://www.pref.wakayama.lg.jp/prefg/032000/econet/,,,e0317001@pref.wakayama.lg.jp
夏休みにチャレンジしてみよう！！,夏休み！金銭教育バス教室,,,8月2日（水） ※和歌山ビッグ愛（和歌山市）7:50集合,日本銀行大阪支店、大阪造幣局,小学4?6年生と保護者（過去参加児童除く） ,20組40人（抽選）,,,,往復ハガキで住所、児童・保護者の氏名（ふりがな）、学年、電話番号を7月13日までに県金融広報委員会〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階　電話073-426-0298,,,,http://www.wakayama-kinkoui.jp/news/20170613.html,,,
夏休みにチャレンジしてみよう！！,夏休み!楽しく学ぶ消費者教室,講座：(1)バター作り体験(2)省エネ学習とLED行燈作成,,7月26日（水）(1)10:00?12:00(2)13:30?15:30,和歌山ビッグ愛（和歌山市）,(1)小学1?3年生(2)小学4?5年生（保護者同伴可）,(1)20人(2)30人（先着順）,"(2)は1,000円",,,郵送、電話、ファックスで講座名、住所、児童氏名（学年）、保護者氏名、電話番号、一時保育希望の有無を7月19日までに県消費生活センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階 電話073-433-1551 ファックス073-433-3904,,,,http://www.wcac.jp/,,,
